run,experiment,data_kind,n,mode,trials,queries_per_trial,median_ms_median,median_ms_min,median_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,accept_median_ms_median,accept_median_ms_min,accept_median_ms_max,accept_cpu_mean_ms_median,accept_cpu_mean_ms_min,accept_cpu_mean_ms_max,rss_after_MiB_median,rss_after_MiB_min,rss_after_MiB_max,rss_before_MiB_median,rss_before_MiB_min,rss_before_MiB_max,mean_json_body_bytes_median,mean_json_body_bytes_min,mean_json_body_bytes_max
HPC,archive_retrieval,ethereum_rpc_finalized_json,69,archive,5,200,12.011197,11.814242,12.176930500000001,17.66353445,17.078703349999998,17.831766950000002,18.07572423,17.45532329,18.14034082,3.523803,3.3333995,3.5458534999999998,3.75653247,3.56541632,3.791931645,25.71484375,23.8984375,27.30078125,21.625,21.40234375,21.765625,0,0,0
HPC,archive_retrieval,synthetic,512,archive,5,200,6.6847235000000005,6.581556,6.759245,7.2581122,7.171156399999999,7.32726535,7.505908449999999,7.433269469999994,9.347771219999998,0.17898999999999998,0.178353,0.1796585,0.178521895,0.177858815,0.179857705,22.3984375,22.27734375,22.51953125,21.65625,21.48828125,21.828125,0,0,0
HPC,archive_retrieval,synthetic,4096,archive,5,200,6.6357265000000005,6.5699565,7.9901515,7.2122155,6.98575805,24.12224054999998,7.411943799999997,7.318031629999998,48.61879739999994,0.18430649999999998,0.18228650000000002,0.18494100000000002,0.18405583,0.181999355,0.184374515,22.4140625,22.2578125,22.48828125,21.6640625,21.46875,21.7734375,0,0,0
HPC,local,ethereum_rpc_finalized_json,69,archive,5,200,3.5857305,3.241784,3.6132425,7.372433149999999,6.7237566,7.5257060000000005,7.42945634,6.74039009,7.58489765,3.5849124999999997,3.240932,3.61235,3.8218076500000002,3.55342431,3.854452365,24.8984375,24.69921875,26.6796875,21.6953125,21.40625,21.80859375,0,0,0
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,5,200,3.5893154999999997,3.2344144999999997,3.6318165000000002,7.3576875,6.70714805,7.49490875,7.405566469999999,6.73444961,7.58986277,3.588555,3.2336460000000002,3.6309495,3.83553071,3.549860545,3.85209066,24.8203125,24.5703125,26.8046875,21.62890625,21.51953125,21.81640625,0,0,0
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,5,200,3.5861675,3.262705,3.6457755,7.350762249999998,6.7187199,7.5172382,7.45418437,6.808535749999999,7.574458869999999,3.5853675000000003,3.2618365,3.64485,3.820044925,3.56988027,3.85260287,24.8203125,24.609375,26.9453125,21.7109375,21.46484375,21.76953125,0,0,0
HPC,local,ethereum_rpc_finalized_json,69,full,5,200,3.569817,3.239184,3.6022800000000004,7.4669758999999996,6.66660895,7.551896999999999,7.52840815,6.72793378,7.670171379999999,3.5691135000000003,3.238378,3.601509,3.826161125,3.549091395,3.84503965,24.69140625,24.5546875,26.9140625,21.47265625,21.40625,21.69140625,0,0,0
HPC,local,ethereum_rpc_finalized_json,69,leaf,5,200,3.727429,3.412914,3.8123425,7.1579083,7.05294485,7.81628325,7.30806963,7.1721993,7.90706974,3.7267785,3.412153,3.81151,3.956876885,3.7320053,4.015091415,24.4921875,24.3984375,26.54296875,21.65234375,21.4765625,21.8203125,0,0,0
HPC,local,synthetic,512,archive,5,200,0.1727305,0.172148,0.174141,0.1772734,0.17631405,0.1821832,0.1815571399999999,0.17858590999999993,0.19637226,0.17223149999999998,0.171658,0.173665,0.171901725,0.171298945,0.173644155,22.0546875,21.83984375,22.140625,21.73828125,21.484375,21.828125,0,0,0
HPC,local,synthetic,512,ext_cached,5,200,0.1741185,0.1713945,0.17459,0.1814834,0.17835485,0.19111859999999994,0.19481996999999993,0.18303802,0.20852155999999997,0.1736105,0.170902,0.174099,0.173632525,0.171312295,0.174581675,22.0546875,21.77734375,22.14453125,21.6796875,21.41796875,21.83203125,0,0,0
HPC,local,synthetic,512,ext_rebuild,5,200,0.171989,0.1708395,0.172908,0.17636734999999998,0.1759732,0.17762055,0.18274515999999993,0.17799092999999994,0.18560538999999995,0.1715215,0.170348,0.172363,0.17107214,0.17029515,0.172134875,22.078125,21.97265625,22.1015625,21.77734375,21.66796875,21.98828125,0,0,0
HPC,local,synthetic,512,full,5,200,0.17254799999999998,0.17132750000000002,0.17458849999999998,0.1768194,0.17514115,0.1948183,0.17907955999999997,0.17704689999999992,0.20252921000000002,0.172046,0.17083199999999998,0.174078,0.17182849,0.170477615,0.174585305,22.1015625,22.05078125,22.1484375,21.7265625,21.67578125,21.828125,0,0,0
HPC,local,synthetic,512,leaf,5,200,0.8188165,0.8163210000000001,0.8644164999999999,0.82352935,0.8210709,0.9018732999999999,0.83056885,0.8294139299999992,0.9445434899999998,0.818247,0.8157509999999999,0.8637775000000001,0.815198805,0.813064545,0.85268379,22.48828125,22.27734375,22.53515625,21.70703125,21.48828125,21.78515625,0,0,0
HPC,local,synthetic,4096,archive,5,200,0.1769045,0.175202,0.177961,0.18159495,0.18003965,0.18305345,0.18682931999999955,0.1856520199999994,0.19428708999999947,0.1764365,0.174722,0.1774665,0.17660826500000001,0.175275425,0.177494625,22.1015625,21.8828125,22.1640625,21.78515625,21.53125,21.84765625,0,0,0
HPC,local,synthetic,4096,ext_cached,5,200,0.177541,0.1766565,0.178633,0.1826347,0.1811206,0.1988121,0.20708689999999952,0.19059562999999946,0.21696874999999952,0.1770475,0.17618450000000002,0.178116,0.177848975,0.176522395,0.179329835,21.94140625,21.83984375,22.14453125,21.625,21.48828125,21.83203125,0,0,0
HPC,local,synthetic,4096,ext_rebuild,5,200,0.175943,0.17500749999999998,0.180687,0.18245445,0.17943195,0.20166524999999996,0.1890633599999994,0.18320056999999937,0.21645351999999968,0.17546450000000002,0.1744985,0.1801615,0.176184925,0.17482206,0.181838645,21.98828125,21.7734375,22.078125,21.671875,21.4140625,21.703125,0,0,0
HPC,local,synthetic,4096,full,5,200,0.1761565,0.17534,0.182262,0.18167694999999995,0.17966715,0.206813,0.18873978999999946,0.18769321999999947,0.2619566099999999,0.175678,0.1748255,0.1817515,0.175918795,0.17497286,0.18664414,22.1015625,21.94921875,22.1484375,21.7265625,21.6328125,21.83203125,0,0,0
HPC,local,synthetic,4096,leaf,5,200,5.285394,5.264419,5.3066455,5.3388652,5.3077235,5.36590095,5.39326358,5.35417986,5.433233550000001,5.2845905,5.263787499999999,5.305958,5.27137588,5.25003643,5.296227615,24.5,24.33984375,24.59765625,21.6875,21.48828125,21.78515625,0,0,0
HPC,memory_pressure,ethereum_rpc_finalized_json,69,ext_cached,5,200,3.5871885,3.229541,3.6436615000000003,7.274945399999999,6.664356199999999,7.50012395,7.42080237,6.70308118,7.53165356,3.5865125,3.2288295,3.6429495000000003,3.831245335,3.54177876,3.880396405,88.7578125,88.72265625,90.80859375,85.8515625,85.70703125,86.01171875,0,0,0
HPC,memory_pressure,ethereum_rpc_finalized_json,69,ext_rebuild,5,200,3.5683035,3.3042935,3.6447745,7.37139655,6.6602969,7.60286745,7.390529470000001,6.738175549999999,7.68944848,3.567702,3.3036355,3.643941,3.818411565,3.54484315,3.862342205,88.79296875,88.64453125,90.953125,85.97265625,85.859375,86.0234375,0,0,0
HPC,memory_pressure,ethereum_rpc_finalized_json,69,full,5,200,3.5853330000000003,3.2287809999999997,3.640771,7.419151549999999,6.6186742999999995,7.52744695,7.5288207,6.7142208,7.5610877599999995,3.5847379999999998,3.228179,3.640084,3.83257396,3.53191614,3.86948495,88.74609375,88.64453125,90.6875,85.81640625,85.59765625,85.96875,0,0,0
HPC,memory_pressure,ethereum_rpc_finalized_json,69,leaf,5,200,3.7311864999999997,3.4375305000000003,3.803777,7.2448671,7.065630249999999,7.80953525,7.32712961,7.2157395,7.90764332,3.7304145,3.4367615000000002,3.8030195,3.971025015,3.73643457,4.017664875,88.5078125,88.328125,90.44921875,85.84765625,85.70703125,85.96875,0,0,0
HPC,memory_pressure,synthetic,512,ext_cached,5,200,0.171488,0.16948400000000002,0.1735235,0.17512225,0.1734383,0.18798594999999999,0.17849174999999992,0.17533332999999993,0.20696198999999998,0.171102,0.1691,0.173142,0.170850655,0.168781525,0.173881715,85.92578125,85.62890625,85.98046875,85.92578125,85.62890625,85.98046875,0,0,0
HPC,memory_pressure,synthetic,512,ext_rebuild,5,200,0.16994900000000002,0.1691025,0.172623,0.1748218,0.1734905,0.18853219999999996,0.17900561999999998,0.17575547999999994,0.19625028999999983,0.1695805,0.168703,0.172248,0.169726505,0.168380345,0.172973555,85.97265625,85.82421875,85.9921875,85.97265625,85.82421875,85.9921875,0,0,0
HPC,memory_pressure,synthetic,512,full,5,200,0.171213,0.169884,0.17294500000000002,0.175226,0.1737033,0.1859418,0.18111626999999994,0.17775137,0.20366644999999986,0.170831,0.169531,0.17252699999999999,0.17056067,0.169090725,0.173060155,85.90625,85.68359375,86.0234375,85.90625,85.68359375,86.0234375,0,0,0
